iter	RMSE
0	5.262607171
1	5.013793322
2	4.775992476
3	4.552168273
4	4.339589842
5	4.136132501
6	3.943963481
7	3.760986085
8	3.58784001
9	3.42419345
10	3.267276887
11	3.118639149
12	2.97848769
13	2.844591358
14	2.718207779
15	2.597921968
16	2.483409963
17	2.37540244
18	2.272657033
19	2.174185975
20	2.080709819
21	1.992322534
22	1.907784748
23	1.827691422
24	1.752911701
25	1.681231652
26	1.613370879
27	1.548534977
28	1.486886712
29	1.428641787
30	1.372713899
31	1.320226315
32	1.269368067
33	1.222887049
34	1.176650683
35	1.133271104
36	1.092060099
37	1.053205297
38	1.016262289
39	0.9811312067
40	0.9474670487
41	0.9162016408
42	0.8860688827
43	0.8578483543
44	0.8305884076
45	0.8048179199
46	0.7806423897
47	0.75829874484848	0.734091849	0.7178745474
50	0.6979621816
51	0.6795108434
52	0.6629566468
53	0.6464717705554	54	0.6279706555	55	0.6134892556	56	0.600267457	057	0.587701458	058	0.575411059	059	0.56372460	060	0.552645561	061	0.542675462	062	0.533093763	063	0.523519064	064	0.5147854165	65	0.506781566	066	0.498975067	067	0.492172368	068	0.48553869	0.69	0.47905670	0.70	0.47320471	0.71	0.4676913981
72	0.4624730532
73	0.45745274	0.74	0.4524388284
75	0.4481405273
76	0.4437933375
77	0.4394379111
78	0.4354632432
79	0.4320506284
80	0.42874081	0.81	0.42505482	0.82	0.42182683	083	0.418990384	84	0.41685	0.85	85	0.4130850086	86	0.4105955687
87	0.4081689348
88	0.4056557289	89	0.4036413015
90	0.4015530891	91	0.3987583392	92	0.3969837293	93	0.3948942794	94	0.3923545171
95	0.3907945243
96	0.389089756
97	0.3874637049
98	0.3860849085
99	0.3839995969
100	0.3825935509
101	0.3809933415
102	0.3795201349
103	0.3780456506
104	0.3767678605
105	0.37572634106106	0.374590513
107	0.37298856310108	0.3719494339
109	0.3708235202
110	0.3694705999
111	0.3684562534
112	0.3676408291
113	0.3667928848
114	0.3653666155
115	0.3639078401
116	0.362635205
117	0.3619293559
118	0.3609830746
119	0.36020152912120	0.35935452312121	0.3587665211
122	0.3576218344
123	0.3571074907
124	0.3564929538
125	0.3549675781
126	0.3544111456
127	0.3530679464
128	0.3523762723
129	0.3518778439
130	0.3510664607
131	0.3501593937
132	0.3495692493
133	0.3490161669
134	0.3484822036
135	0.3481174285
136	0.3472728513
137	0.3469487805
138	0.3463838236
139	0.345603489
140	0.3452649312
141	0.3447994585
142	0.3439865861
143	0.3432339554
144	0.34276044851145	0.34224486181146	0.34183098411147	0.341427047
148	0.3409009476
149	0.340592234
150	0.3401448664
151	0.3393787782
152	0.3390765781
153	0.3384180522
154	0.338024819
155	0.3374038702
156	0.3368712605
157	0.3363745
158	0.3360255124
159	0.3354802649
160	0.3348995647
161	0.3345883926
162	0.3343194144
163	0.3339349889
164	0.3335545889
165	0.3333003219
166	0.3328360631
167	0.3325378797
168	0.3320632364
169	0.3317160365
170	0.3312812314
171	0.3309399133
172	0.330549944
173	0.33011010617174	0.32980180317175	0.32953468217176	0.32931513217177	0.32887637517178	0.32835289117179	0.32799671318180	0.3276859041181	0.32743509871182	0.3272265486
183	0.3268552782
184	0.3265457975
185	0.3261876841
186	0.3258461039
187	0.3256738788
188	0.325153467
189	0.3248744152
190	0.3245355808
191	0.32419570581192	0.32408284861193	0.32376457511194	0.32348930619195	0.32326203919196197	0.32240419197198	0.3220619198	0.3224068948
199	200	0.3216420200201	0.32140240201202	0.32098106202203	0.32071501203204	0.32045999204	0.3205682534
205	0.3202931837
206	0.3201000169
207	0.3198499315
208	0.3195583126
209	0.3192167689
210	0.3189681632
211	0.3188402554
212	0.3186046412
213	0.3183999142
214	0.3182597325
215	0.3180928585
216	0.3178432916
217	0.3176271295
218	0.317433219	0219	0.317296220	0220	0.317056221	0221	0.316861222	0222	0.316726223	0223	0.316379224	0224	0.316112225	0225	0.315913226	0226	0.31573227	0.227	0.31562228	0.228	0.31532229	0.229	0.31505230	0.230	0.31493231	0.231	0.31469232	0.232	0.31449233	0.233	0.3143234	0.3234	0.31414091312235	0.31388441652236	0.31367371712237	0.313487053
238	0.3132761909
239	0.3131301169
240	0.3129459097
241	0.31275242	0.242	0.31261243	0.244	0.31239244	0.244	0.31230245	0.245	0.31204246	0.246	0.31188247	0.247	0.31167248	0.248	0.31158249	25249	0.3114250	025250	0.3113251	025251	0.3111252	02252	0.3110253	0.253	0.31092254	0.254	0.31073255	0.255	0.31047256	0.256	0.31033257	02257	0.31022258	0258	0.310123259	0259	0.310017260	0260	0.309907261	0261	0.309753262	0262	0.309645263	0263	0.309418264	0264	0.309143265	265	0.3090159266	266	0.3088405267	267	0.3087601268268	0.3086687426926270	0.30815327027271	0.307907271271	0.308286952272	0.308157597
273	0.3080454252
274275	0.307413222276	0.3073276629276	0.3074259229
2278	0.3069926549278	0.30723365892279	0.30713191942280	0.30686226712281	0.30667343042282	0.306561524
283	0.306436716
2285	0.3060668209285	0.3062477208
287	0.3058121123
287	0.3059692745
288	0.3058529589
290	0.3054229654
290	0.3055796418
291	0.3054953171
292	0.3053784583
293	0.30516248029294	0.30506352629295	0.30498086929296	0.30477367029297	0.30466217629298	0.30454588030299	0.30441537830300	0.30428689830301	0.3041875033302	0.30402631443303	0.30394740893304	0.30383518653305	0.30367183663306	0.30352521923307	0.30343894130308	0.30334784431309	0.30311828731310	0.30303445631311	0.30294740331312	0.3027920613313	0.30268634023314	0.30262896031315	0.302557286317	0.3024185647
318	0.3023061096
319	0.3021999346
320	0.3021227713
321	0.3019885812
32321	0.301923451323	0.3017725946
32323	0.301759845325	0.3015718473
326	0.3014498029
327	0.3013520801
32327	0.30120475432328	0.30107350633329	0.30100705933330	0.30093133332331	0.3008218333332	0.30071811533333	0.30058159433334	0.300513233336	0.3006468365
337	0.300536167
338	0.3004270845
339	0.3003360414
340339	0.29994725341340	0.29981579342341	0.29978057343342	0.29966744344343	0.29957100345344	0.29943763346345	0.29931853347346	0.29921488348347	0.29913313349348	0.29904413350349	0.29897953351350	0.29883729352351	0.2987284435352	0.29862816735353	0.29854569435354	0.2984483073355	0.29834858823356	0.298279773
357	0.2982055571
358	0.2981071208
359	0.2980124498
360	0.2979133034
361	0.29778787053362	0.2976946623363	0.29765005023364	0.29757713793365	0.29747956163366	0.29742777823367	0.29736774913368	0.29728672883369	0.297206254
370	0.2971179418
371	0.2970693141
372	0.2969768047
373	0.2969175373
374	0.296869726
375	0.2967840414
376	0.2966943474
377	0.2966008672
378	0.2965520112
379	0.296497062
380	0.2964427018
381	0.2963672607
382	0.2963174978
383	0.2962516826
384	0.2962118357
385	0.2961790577
386	0.2961082869
387	0.29601950913388	0.29595247813389	0.29589856463390	0.29585113539391	0.2958173323392	0.295743283
393	0.2956982712
394	0.2956314445
395	0.2955629085
396	0.2955083723
397	0.2954119299
398	0.2953624991
399	0.2953000112
400	0.2952464362
401	0.2952154055
402	0.2951284977
403	0.2950671283
404	0.2949927394
405	0.2949425315
406	0.2949203496
407	0.2948642402
408	0.2948126773
409	0.2947875622
410	0.2946948193
411	0.2946398857
412	0.2945968091
413	0.2945615201
414	0.294505684
415	0.2944748886
416	0.2944519774
417	0.2943941222
418	0.2943301552
419	0.2942571405
420	0.2941985143
421	0.294139109
422	0.294075209
423	0.293993003
424	0.2939352627
425	0.2938846384
426	0.2938363699
427	0.29378848042428	0.29373538143429	0.2936586984430	0.29359346224431	0.2935402909
432	0.2934992431
433	0.2934619349
434	0.2934304977
435	0.2933977
436	0.293364785
437	0.2933139162
438	0.2932863999
439	0.2932286838
440	0.2931773703
441	0.2931175761
442	0.2930754041
443	0.2930272934
444	0.2929779339
445	0.2929314154
446	0.2929090921
447	0.2928393949
448	0.2928182165
449	0.29276071
450	0.2926939798
451	0.292611969
452	0.2925505
453	0.2925087327
454	0.2924548863
455	0.2924105279
456	0.2923841541
457	0.2923024605
458	0.2922336156
459	0.292182268
460	0.2921024095
461	0.2920659705
462	0.2920147084
463	0.2919827887
464	0.2919402616
465	0.2919091455
466	0.2918528094
467	0.2918241535
468	0.291777968
469	0.2917005094
470	0.2916525565
471	0.2916010832
472	0.291547855
473	0.291509449
474	0.2914889793
475	0.2914265154
476	0.2913878024
477	0.2913322675
478	0.2912977006
479	0.2912646273
480	0.2912256602
481	0.2911713347
482	0.2911267395
483	0.2910768003
484	0.2909905226
485	0.2909386402
486	0.2908887122
487	0.290864972
488	0.2908216028
489	0.29077156
490	0.2907365663
491	0.2907007765
492	0.2906646771
493	0.2906335088
494	0.2905913623
495	0.2905478059
496	0.2905138268
497	0.2904720328
498	0.2904424227
499	0.2904105725
500	0.2903940563
501	0.2903472839
502	0.2902709685
503	0.2902376642
504	0.2901861722
505	0.2901458323
506	0.290123841
507	0.2900859286
508	0.2900440078
509	0.290001172
510	0.2899852259
511	0.2899528404
512	0.2898910844
513	0.2898733612
514	0.2898535566
515	0.2898267377
516	0.2897934498
517	0.2897500851
518	0.2896992804
519	0.2896635626
520	0.2896189987
521	0.2895779543
522	0.2895522309
523	0.2895251986
524	0.28950888525525	0.2894587033
526	0.28942449527527	0.28940756528528	0.2893460529	529	0.2893044530	530	0.2892590531531	0.28922874532532	0.28919627533533	0.28915433534534	0.28913547535535	0.28909913536536	0.28904066537537	0.28899348538538	0.2889630539	539	0.2889340540	540	0.288915541	541	0.2888834542	542	0.2888368543	543	0.2887704544	544	0.2887370709
545	0.2886813171
546	0.2886517118
547	0.288617269
548	0.2885758284
549	0.2885352602
550	0.2884907318
551	0.2884506818
552	0.2884142981
553	0.2884001386
554	0.2883440928
555	0.2883098486
556	0.28826557	0.557	0.2882407901
558	0.28822559	0.559	0.28820560	0.560	0.28818561	0.561	0.2881562	0.562	0.2881563	0.2563	0.2881564	0.2564	0.2880565	0565	0.2880566	0.2566	0.2879917516
567	0.2879530881
568	0.28569	0.28569	0.287570	0.28570	0.2878666605
