iter	Passed	Remaining
0	111	111230
1	225	112536
2	330	109991
3	435	108340
4	518	103148
5	619	102625
6	709	10065777	801	994238	884	97362
99	978	96875110	1072	96427111	1166	96032112	1256	95398113	1355	9543314	1459	95833
15	1556	95724
16	1657	95851
17	175216	360318	1851	17	37319	1943	918	3820	2044	9519	4024	197191
20	4133	192695
21	4213	187300
22	4292	182357
23	4388	178457224	4488	175052725	4589	171928	26	4692	16929	227	4791	1630	3028	4891	131	31029	4979	32	320430	507333	3292	31	51634	3390	93473
35	3481	93239
36	3575	93063
37	3667	92853538	3759	92648339	3879	93107
40	4003	93649
41	4132	94265
42	4264	94916
43	4380	95178
44	4505	95606
45	4640	96240
46	4758	96489
47	4879	96769
48	4999	97036
49	5107	97042
50	5212	97001
51	5318	96963
52	5419	96843
53	5509	96518
54	5614	96468
55	5706	96198
56	5790	95804
57	5874	95415
58	5967	95176
59	6063	94997
60	6156	94775
61	6239	94401
62	6313	93906
63	6392	93491
64	6467	93030
65	6547	92650
66	6625	92257
67	6707	91927
68	6780	91494
69	6858	91121
70	6942	90834
71	7020	90488
72	7098	90143
73	7173	89761
74	7258	89519
75	7335	89182
76	7422	88976
77	7495	88600
78	7565	88200
79	7640	87866
80	7716	87547
81	7831	87674
82	7923	87539
83	8017	87424
84	8120	87416
85	8210	87259
86	8309	87202
87	8398	87043
88	8488	86890
89	8575	86706
90	8673	86635
91	8775	86612
92	8869	86499
93	8966	86425
94	9059	86307
95	9152	86188
96	9243	86051
97	9359	86141
98	9450	86004
99	9545	85907
100	9643	85832
101	9735	85710
102	9832	85625
103	9941	85649
104	10028	85481
105	10124	85389
106	10219	85289
107	10309	85144
108	10394	84969
109	10485	84833
110	10575	84701
111	10660	84525
112	10751	84392
113	10832	84187
114	10924	84070
115	11013	83929
116	11106	83819
117	11193	83670
118	11291	83594
119	11384	83485
120	11476	83369
121	11561	83207
122	11663	83158
123	11769	83145
124	11844	82914
125	11920	82684
126	11990	82420
127	12073	82247
128	12157	82088
129	12255	82015
130	12352	81940
131	12444	81829
132	12535	81715
133	12622	81575
134	12709	81437
135	12798	81305
136	12884	81166
137	12968	81007
138	13078	81008
139	13172	80919
140	13264	80807
141	13341	80613
142	13417	80410
143	13504	80278
144	13592	80148
145	13670	79964
146	13762	79861
147	13853	79752
148	13948	79665
149	14033	79522
150	14128	79436
151	14215	79304
152	14311	79229
153	14402	79120
154	14474	78911
155	14548	78713
156	14630	78554
157	14703	78357
158	14780	78178
159	14862	78027
160	14948	77900
161	15032	77761
162	15119	77636
163	15216	77565
164	15306	77459
165	15394	77345
166	15475	77191
167	15562	77071
168	15665	77028
169	15762	76960
170	15863	76906
171	15963	76846
172	16062	76785
173	16161	76721
174	16248	76599
175	16341	76508
176	16471	76587
